search_term,app_id,title,developer,installs,n_ratings,n_reviews,score,genre,keep
Zenith Life Assurance,com.zenithagent.zenithagentapp,Zenith Islami Life Agent App,Zenith Life,"1,000+",,0,,Finance,True
Tangerine Life,com.tangerine.tangerinelife,Tangerine Life,Tangerine Life Insurance Limited,1+,,0,,Finance,True
Tangerine General Insurance,inshuwa_clients_app.zsic,Zsic General Insurance,Hobbiton,500+,,0,,Finance,True
Sanlam Nigeria,rw.sanlamallianzlife.rwsl,SanlamAllianz Life,SANLAM ALLIANZ,"10,000+",,0,,Tools,True
SanlamAllianz Nigeria,com.sanlam.unit_trust,SanlamAllianz Unit Trust EA,SanlamAllianz Investments Limited,"50,000+",938.0,0,3.5,Finance,True
Jaiz Takaful,com.techkoor.jaiza,Jaiza,Tech Koor,"1,000+",,0,,Entertainment,True
Salam Takaful Nigeria,com.salamtakafulinsurance.agent,Salam Takaful Insurance Agent,Salam Takaful,100+,,0,,Business,True
ETAP insure,com.impark.etap,ETAP,İMPARK,"1,000+",,0,,Education,True
ETAP insure,com.sinavza.sinavza_EDS.etapyayinlari,Etap,Eğitim Destek Sistemi,"1,000+",,0,,Education,True
Curacel,com.curacel.health.app,Curacel Health,Curacel Systems,100+,,0,,Health & Fitness,True
Bluewave insurance,com.gofit.bluewave,BlueWave,GOFIT INSPIRASI,10+,,0,,Health & Fitness,True
Gari motor insurance,hobbiton.tech.gari_agents_app,Gari Motor Insurance Agent,Hobbiton,"1,000+",,0,,Finance,True
NHIA Nigeria,com.nhia.mobile.android,MyNHIA,NATIONAL HEALTH INSURANCE AUTHORITY.,"5,000+",,0,,Health & Fitness,True
PaddyCover,team.opay.pay,OPay,OPay Digital Services Limited,"50,000,000+",1088538.0,407062,4.5106144,Finance,False
Total Health Trust,com.whatsapp.w4b,WhatsApp Business,WhatsApp LLC,"1,000,000,000+",23620852.0,312134,4.490364,Communication,False
NEM Insurance,com.lenddo.mobile.paylater,Carbon: Mobile Banking & Loans,Carbon Microfinance Bank,"5,000,000+",168371.0,87838,3.8430493,Finance,False
Allianz Nigeria,com.alibaba.aliexpresshd,AliExpress - Shopping App,Alibaba Mobile,"500,000,000+",16292876.0,59443,4.531432,Shopping,False
Bastion Health,com.moniepoint.business,Moniepoint Business Banking,Moniepoint,"10,000,000+",244128.0,43635,4.598679,Finance,False
PaddyCover,com.piggybankng.piggy,PiggyVest: Save & Invest Today,Piggytech Global Ltd.,"1,000,000+",99372.0,37662,4.491904,Finance,False
third party insurance Nigeria,com.renmoney.android,Renmoney: Loan & Savings App,Renmoney MFB,"1,000,000+",51985.0,25502,4.361046,Finance,False
THT Nigeria health,com.linkedin.android,LinkedIn: Community & Network,LinkedIn,"1,000,000,000+",3476875.0,24235,4.046293,Business,False
Zenith General Insurance,com.zenithBank.eazymoney,Zenith Bank Mobile App,Zenith Bank,"10,000,000+",51147.0,22865,4.159705,Finance,False
KBL Insurance,com.sofascore.results,Sofascore: Live Sports Scores,Sofascore,"100,000,000+",1142057.0,17878,4.3552833,Sports,False
Sterling Health HMO,com.sterlingng.sterlingmobile,Sterling OneBank,Sterling Bank Plc,"1,000,000+",33627.0,15803,3.8901098,Finance,False
SUNU Assurances Nigeria,com.suno.android,Suno - AI Music & Songs Maker,"Suno, Inc","10,000,000+",2041066.0,7119,4.607931,Music & Audio,False
Allianz Nigeria,com.azure.authenticator,Microsoft Authenticator,Microsoft Corporation,"100,000,000+",2731201.0,5274,4.677852,Business,False
Fin Insurance Nigeria,com.prestmit,Prestmit: Gift Cards & Crypto,Prestmit,"500,000+",11880.0,5001,4.55074,Finance,False
Novo Health Africa,com.google.android.apps.magazines,Google News - Daily Headlines,Google LLC,"1,000,000,000+",1960591.0,2667,4.559033,News & Magazines,False
buy insurance Nigeria,ng.giglogistics.giglgo,GIGGO,GIG Logistics,"500,000+",3701.0,1571,3.7928994,Business,False
third party insurance Nigeria,com.ng.con.loan.fast.simple,FastFund - Efficient & Trusted,CONRADO LENDING LIMITED,"500,000+",9472.0,1550,4.3808374,Finance,False
Turaco insurance,ng.kobogo.mobile,KoboGo,KoboGo,"1,000,000+",2125.0,1493,3.1698112,Finance,False
buy insurance Nigeria,com.p2vest,P2Vest - Loan & Insurance App,P2Vest Technology Limited,"100,000+",2155.0,1404,3.762136,Finance,False
Zenith Life Assurance,com.invoiceapp,Simple Invoice Manager,Tacktile Systems Private Limited,"5,000,000+",36402.0,1339,4.728155,Business,False
International Energy Insurance,com.ist.irecharge,iRecharge,Infostrategy Technology,"100,000+",2412.0,1231,3.9868996,Finance,False
AIICO Multishield,network.optimai.edgenode,OptimAI Edge Node,OptimAI Network,"50,000+",18826.0,1163,4.366667,Finance,False
PaddyCover,com.cousant.naijainvest,i-invest: Invest & Save,Parthian Partners,"100,000+",1958.0,1036,4.1213875,Finance,False
Fin Insurance Nigeria,com.zenithbank.eazybyzenith,eaZy by Zenith Digital Wallet,Zenith Bank,"1,000,000+",2659.0,768,4.4573646,Finance,False
Hygeia HMO,com.transsion.oraimohealth,oraimo health,ORAIMO TECHNOLOGY LIMITED,"1,000,000+",15875.0,754,4.4401913,Health & Fitness,False
Old Mutual Nigeria,com.chd.investnaija.invest_naija,InvestNaija: Learn & Invest.,InvestIN LTD.,"500,000+",1373.0,739,3.5546875,Finance,False
Custodian Insurance Nigeria,com.optimusng.mobile,PlutusNeo by Afrinvest,Andromeda Technology Solutions Ltd,"100,000+",1692.0,724,3.4591196,Finance,False
Gari motor insurance,com.waze,Waze Navigation & Live Traffic,Waze,"500,000,000+",8895849.0,599,4.3986015,Maps & Navigation,False
Universal Insurance Nigeria,com.nigeriapropertycentre.app,Nigeria Property Centre,Nigeria Property Centre,"100,000+",1221.0,532,4.01,Lifestyle,False
Fin Insurance Nigeria,ng.sycamore.app2,Sycamore - Save Invest Borrow,Sycamore Integrated Solutions Limited,"100,000+",1255.0,492,4.4793386,Finance,False
