search_term,app_id,title,developer,installs,n_ratings,n_reviews,score,genre,keep
Tangerine Life,notion.id,"Notion: Notes, Tasks, AI","Notion Labs, Inc.","10,000,000+",377660.0,488,4.6590037,Productivity,False
Guinea Insurance,com.remitly.androidapp,Remitly: Send Money & Transfer,Remitly,"10,000,000+",1590243.0,385,4.6646705,Finance,False
Tangerine Life,co.uk.getmondo,Monzo Bank - Mobile Banking,Monzo,"10,000,000+",178748.0,314,4.7166667,Finance,False
Sterling Assurance Nigeria,ng.sterling.bancabysterling,Banca by Sterling,Sterling Bank Plc,"100,000+",575.0,294,4.07,Finance,False
Unitrust Insurance,com.ptb.mobile,PremiumTrust Mobile,PremiumTrust Bank,"100,000+",577.0,289,4.21,Finance,False
Universal Insurance Nigeria,com.etranzact.mpbVerificationApp,MPB Verification,Military Pensions Board,"50,000+",458.0,262,3.61,Personalization,False
Sterling Assurance Nigeria,ng.sterling.sterlingswitch,Switch by Sterling,Sterling Bank Plc,"50,000+",415.0,219,3.7603307,Finance,False
FBN Insurance,com.fbn.FBNDirect,FBNDirect,FirstBank Nigeria,"100,000+",588.0,198,4.04,Finance,False
Great Nigeria Insurance,com.tiptoebettingtips.app,Tiptoe Betting Tips & Odds,Tiptoe Betting Tips,"50,000+",1094.0,193,4.76,Sports,False
Sovereign Trust Insurance,com.sofrimobileapp,Sofri Trust,SofriSofri,"100,000+",428.0,184,3.87,Finance,False
Police Health Maintenance,com.appcrunk.npf,NPF Rescue Me,Gulf Technologies,"100,000+",326.0,183,3.69,Communication,False
PaddyCover,com.wiseki.sekiapp,SekiApp: Buy and Sell Giftcard,SekiApp,"50,000+",387.0,171,4.5,Finance,False
buy insurance Nigeria,com.premiumtrust.blayzz,Blayzz,PremiumTrust Bank,"100,000+",264.0,168,3.79,Finance,False
KBL Insurance,com.chase.sig.android,Chase Mobile,JPMorgan Chase,"50,000,000+",2093769.0,160,4.69,Finance,False
NHIA Nigeria,ng.verifyme.agentapp,Gova by VerifyMe,VerifyMe Nigeria Ltd,"10,000+",250.0,158,4.09,Business,False
Royal Exchange Insurance,com.exchanger101.app,"Exchanger101:Coins,Giftcard,Da",exchanger company,"10,000+",405.0,114,4.53,Business,False
Tangerine Life,com.finch.finch,Finch: Self-Care Pet,Finch Care Public Benefit Corporation,"10,000,000+",602206.0,110,4.79,Health & Fitness,False
Fin Insurance Nigeria,com.bmoni.app,BMONI,BKey Inc,"100,000+",267.0,97,3.5272727,Finance,False
car insurance Nigeria,com.autochek.buysalefixcars,Autochek - Auto Sales & Loans,Autochek,"100,000+",350.0,95,3.81,Finance,False
Roding Healthcare,com.eshe.space,Eshe Period & Cycle Tracker,FEM HEALTH LIFE LTD,"100,000+",735.0,82,4.3431373,Health & Fitness,False
Total Health Trust,com.google.android.apps.healthdata,Health Connect,Google LLC,"500,000,000+",86322.0,80,4.51,Health & Fitness,False
Nigerian Agricultural Insurance,com.boa.mobile,Bank of Agriculture,Bank Of Agriculture,"50,000+",172.0,76,3.96,Finance,False
third party insurance Nigeria,ng.com.islam24data.app,Islam 24 Data,GomTech Solutions,"100,000+",209.0,57,4.4313726,Business,False
Songhai Health Trust,com.mDoc.completehealth,mDoc CompleteHealth™,mDoc,"10,000+",68.0,46,4.5409837,Health & Fitness,False
Sovereign Trust Insurance,com.cwg.trustbanc,Prime By TrustBanc,TrustBanc,"5,000+",77.0,46,4.4444447,Finance,False
THT Nigeria health,com.zijela.chprbn,CHPRBN,Zijela ICT,"10,000+",69.0,40,3.8985507,Medical,False
