search_term,app_id,title,developer,installs,n_ratings,n_reviews,score,genre,keep,role
Great Nigeria Insurance,com.tiptoebettingtips.app,Tiptoe Betting Tips & Odds,Tiptoe Betting Tips,"50,000+",1094.0,193,4.76,Sports,False,not_ng_insurance
Sovereign Trust Insurance,com.sofrimobileapp,Sofri Trust,SofriSofri,"100,000+",428.0,184,3.87,Finance,False,not_ng_insurance
Police Health Maintenance,com.appcrunk.npf,NPF Rescue Me,Gulf Technologies,"100,000+",326.0,183,3.69,Communication,False,not_ng_insurance
PaddyCover,com.wiseki.sekiapp,SekiApp: Buy and Sell Giftcard,SekiApp,"50,000+",387.0,171,4.5,Finance,False,not_ng_insurance
buy insurance Nigeria,com.premiumtrust.blayzz,Blayzz,PremiumTrust Bank,"100,000+",264.0,168,3.79,Finance,False,not_ng_insurance
KBL Insurance,com.chase.sig.android,Chase Mobile,JPMorgan Chase,"50,000,000+",2093769.0,160,4.69,Finance,False,not_ng_insurance
NHIA Nigeria,ng.verifyme.agentapp,Gova by VerifyMe,VerifyMe Nigeria Ltd,"10,000+",250.0,158,4.09,Business,False,not_ng_insurance
Royal Exchange Insurance,com.exchanger101.app,"Exchanger101:Coins,Giftcard,Da",exchanger company,"10,000+",405.0,114,4.53,Business,False,not_ng_insurance
Tangerine Life,com.finch.finch,Finch: Self-Care Pet,Finch Care Public Benefit Corporation,"10,000,000+",602206.0,110,4.79,Health & Fitness,False,not_ng_insurance
Coronation Insurance,ng.coronation.shareholderlive,Coronation ShareholderLive,Coronation Registrars,"10,000+",148.0,103,2.73,Finance,False,not_ng_insurance
Coronation Insurance,com.trium_digital.wealth_app,Coronation Wealth,WEALTH BY CORONATION LIMITED,"10,000+",151.0,98,3.14,Finance,False,not_ng_insurance
Fin Insurance Nigeria,com.bmoni.app,BMONI,BKey Inc,"100,000+",267.0,97,3.5272727,Finance,False,not_ng_insurance
car insurance Nigeria,com.autochek.buysalefixcars,Autochek - Auto Sales & Loans,Autochek,"100,000+",350.0,95,3.81,Finance,False,not_ng_insurance
