search_term,app_id,title,developer,installs,n_ratings,n_reviews,score,genre,keep,role
African Alliance Insurance,dev.hobbiton.general_alliance_insurance,General Alliance Agents,Hobbiton,500+,,0,,Finance,False,agent_or_provider
Capital Express Assurance,com.soyebo.capitalexpress,Capital Express Agent App,capexappdev,100+,,0,,Finance,False,agent_or_provider
Capital Express Assurance,com.capitalexpress.agent,Capital Express Agent,Codeware Ltd.,100+,,0,,Travel & Local,False,agent_or_provider
Capital Express Assurance,com.capitalexpress.driver,Capital Express Driver,Codeware Ltd.,"1,000+",,0,,Travel & Local,False,agent_or_provider
NSIA Insurance Nigeria,com.nsiavie.nsiaaccess,NSIA Connect,NSIA ASSURANCES SA,"5,000+",,0,,Finance,False,not_ng_insurance
NSIA Insurance Nigeria,com.smartaps.nsia_app,NSIA INVEST,NSIA ASSET,"100,000+",,0,,Finance,False,not_ng_insurance
NSIA Insurance Nigeria,com.nsiabanque.mobibnq,NSIA Banque Direct,NSIA BANQUE,"100,000+",,0,,Finance,False,not_ng_insurance
Zenith Life Assurance,com.zenithagent.zenithagentapp,Zenith Islami Life Agent App,Zenith Life,"1,000+",,0,,Finance,False,not_ng_insurance
Tangerine Life,com.tangerine.tangerinelife,Tangerine Life,Tangerine Life Insurance Limited,1+,,0,,Finance,False,consumer
Tangerine General Insurance,inshuwa_clients_app.zsic,Zsic General Insurance,Hobbiton,500+,,0,,Finance,False,not_ng_insurance
Sanlam Nigeria,rw.sanlamallianzlife.rwsl,SanlamAllianz Life,SANLAM ALLIANZ,"10,000+",,0,,Tools,False,not_ng_insurance
SanlamAllianz Nigeria,com.sanlam.unit_trust,SanlamAllianz Unit Trust EA,SanlamAllianz Investments Limited,"50,000+",938.0,0,3.5,Finance,False,not_ng_insurance
Jaiz Takaful,com.techkoor.jaiza,Jaiza,Tech Koor,"1,000+",,0,,Entertainment,False,not_ng_insurance
Salam Takaful Nigeria,com.salamtakafulinsurance.agent,Salam Takaful Insurance Agent,Salam Takaful,100+,,0,,Business,False,not_ng_insurance
ETAP insure,com.impark.etap,ETAP,İMPARK,"1,000+",,0,,Education,False,not_ng_insurance
ETAP insure,com.sinavza.sinavza_EDS.etapyayinlari,Etap,Eğitim Destek Sistemi,"1,000+",,0,,Education,False,not_ng_insurance
Curacel,com.curacel.health.app,Curacel Health,Curacel Systems,100+,,0,,Health & Fitness,False,agent_or_provider
Bluewave insurance,com.gofit.bluewave,BlueWave,GOFIT INSPIRASI,10+,,0,,Health & Fitness,False,not_ng_insurance
Gari motor insurance,hobbiton.tech.gari_agents_app,Gari Motor Insurance Agent,Hobbiton,"1,000+",,0,,Finance,False,agent_or_provider
